,location,total_sqft,bath,price,BHK,price_per_sqft_in_thousand
8168,thanisandra,1917.0,3.0,110.0,3,5.738132498695879
8169,nagarbhavi,1200.0,3.0,340.0,4,28.333333333333332
8171,sarjapur road,1400.0,3.0,55.0,3,3.9285714285714284
8172,thubarahalli,2625.0,3.0,175.0,3,6.666666666666667
8173,sahakara nagar,1100.0,2.0,55.0,2,5.0
8174,hennur road,2041.0,3.0,128.0,3,6.271435570798628
8175,sarjapur road,2070.0,4.0,160.0,3,7.729468599033816
8176,hebbal,1110.0,3.0,59.0,3,5.315315315315315
8177,other,1650.0,3.0,110.0,3,6.666666666666667
8178,ambedkar nagar,3565.0,4.0,255.0,4,7.152875175315568
8179,other,1033.0,2.0,30.47,3,2.9496611810261375
8180,hsr layout,1142.0,2.0,65.0,2,5.691768826619965
8181,other,1500.0,2.0,75.0,3,5.0
8182,electronic city phase ii,1502.0,3.0,50.0,3,3.3288948069241013
8183,other,1176.0,2.0,45.0,3,3.826530612244898
8184,hosa road,1063.0,2.0,32.8,2,3.0856067732831605
8185,other,1100.0,2.0,60.0,2,5.454545454545454
8186,other,1044.0,2.0,85.0,2,8.14176245210728
8187,sarjapur road,5400.0,3.0,700.0,3,12.962962962962964
8188,6th phase jp nagar,1216.0,2.0,60.0,2,4.934210526315789
8189,other,1425.0,3.0,55.0,3,3.8596491228070176
8190,other,1200.0,8.0,150.0,8,12.5
8191,hosur road,1345.0,2.0,108.0,2,8.029739776951672
8192,marathahalli,1248.0,2.0,130.0,2,10.416666666666666
8193,other,1830.0,4.0,325.0,4,17.759562841530055
8194,other,900.0,1.0,130.0,2,14.444444444444445
8195,bellandur,3600.0,4.0,245.0,4,6.805555555555555
8196,uttarahalli,1025.0,2.0,35.88,2,3.5004878048780492
8197,other,840.0,1.0,99.0,2,11.785714285714286
8198,lakshminarayana pura,3050.0,2.0,90.0,3,2.9508196721311477
8199,other,1424.0,2.0,75.0,3,5.26685393258427
8200,epip zone,2500.0,3.0,268.0,3,10.72
8201,other,1200.0,6.0,230.0,6,19.166666666666668
8202,other,1285.0,2.0,45.0,2,3.501945525291829
8203,babusapalaya,1450.0,2.0,55.99,2,3.8613793103448275
8204,raja rajeshwari nagar,1160.0,2.0,70.0,2,6.0344827586206895
8205,yelahanka new town,2700.0,3.0,350.0,3,12.962962962962964
8206,other,2000.0,2.0,95.0,3,4.75
8207,uttarahalli,1125.0,2.0,47.65,2,4.235555555555556
8208,old madras road,3900.0,4.0,175.0,4,4.487179487179487
8209,raja rajeshwari nagar,1133.0,2.0,38.37,2,3.3865842894969105
8210,other,1240.0,2.0,60.0,2,4.838709677419355
8211,devanahalli,1466.0,3.0,77.59,3,5.292633015006821
8212,other,3870.0,4.0,411.0,4,10.62015503875969
8213,ramagondanahalli,1610.0,2.0,115.0,3,7.142857142857143
8214,sarjapur road,1220.0,3.0,56.0,3,4.590163934426229
8215,kaggadasapura,1225.0,2.0,48.0,2,3.9183673469387754
8216,akshaya nagar,1300.0,2.0,54.0,2,4.153846153846154
8217,thanisandra,1996.0,4.0,123.0,3,6.162324649298597
8218,other,1320.0,2.0,55.0,3,4.166666666666667
8219,rajaji nagar,1800.0,3.0,240.0,3,13.333333333333334
8220,other,1835.0,3.0,175.0,3,9.536784741144414
8221,sarjapur road,1435.0,3.0,90.0,3,6.2717770034843205
8222,whitefield,4097.0,3.0,400.0,3,9.76324139614352
8223,rayasandra,1601.0,3.0,70.0,3,4.372267332916927
8224,other,1257.0,2.0,93.0,2,7.398568019093079
8225,iblur village,3596.0,5.0,260.0,4,7.230255839822025
8226,kasavanhalli,1309.0,2.0,95.0,2,7.257448433919022
8227,yeshwanthpur,1362.0,2.0,100.0,2,7.342143906020558
8228,whitefield,1115.0,2.0,55.0,2,4.932735426008969
8229,whitefield,1870.0,3.0,90.0,3,4.81283422459893
8230,other,1322.0,2.0,61.99,2,4.68910741301059
8231,other,1450.0,2.0,65.0,3,4.482758620689655
8232,banashankari,1185.0,2.0,67.0,2,5.654008438818566
8233,7th phase jp nagar,1790.0,3.0,120.0,3,6.70391061452514
8234,whitefield,3450.0,4.0,208.0,3,6.028985507246377
8235,rachenahalli,1050.0,2.0,52.5,2,5.0
8236,budigere,693.0,1.0,27.375,1,3.95021645021645
8237,sarjapur road,5400.0,4.0,750.0,4,13.88888888888889
8238,devanahalli,775.0,1.0,39.0,1,5.032258064516129
8239,hoodi,1000.0,2.0,48.0,2,4.8
8240,thanisandra,1183.0,2.0,77.25,2,6.530008453085376
8241,binny pete,1282.0,3.0,178.0,3,13.88455538221529
8242,other,425.0,1.0,15.0,1,3.5294117647058822
8243,other,820.0,2.0,30.0,2,3.658536585365854
8245,hebbal,1200.0,2.0,52.0,2,4.333333333333333
8246,ramagondanahalli,1151.0,2.0,43.6,2,3.788010425716768
8247,hulimavu,1320.0,2.0,59.0,3,4.46969696969697
8248,other,1450.0,3.0,68.0,3,4.689655172413793
8249,poorna pragna layout,1270.0,2.0,50.79,3,3.999212598425197
8250,hegde nagar,1847.0,3.0,123.0,3,6.659447753113157
8251,devanahalli,1020.0,2.0,49.87,1,4.88921568627451
8252,somasundara palya,1650.0,3.0,95.0,3,5.757575757575758
8253,other,2380.0,4.0,242.0,4,10.168067226890756
8254,electronic city,2400.0,2.0,78.0,3,3.25
8255,begur road,1160.0,2.0,44.0,2,3.793103448275862
8256,haralur road,2805.0,4.0,154.0,4,5.490196078431373
8257,mysore road,1360.0,3.0,47.6,3,3.5
8258,brookefield,1089.0,2.0,49.0,2,4.499540863177227
8259,yelahanka,1115.0,2.0,60.0,2,5.381165919282512
8260,kudlu gate,1215.0,2.0,45.0,2,3.7037037037037037
8261,sarjapur road,1194.0,2.0,51.0,2,4.271356783919598
8262,other,1536.0,3.0,104.0,3,6.770833333333333
8263,hennur,1255.0,2.0,55.5,2,4.422310756972111
8264,electronic city,1571.0,3.0,83.0,3,5.2832590706556335
8265,other,900.0,1.0,70.0,2,7.777777777777778
8266,other,1517.0,2.0,125.0,2,8.23994726433751
8267,budigere,664.0,1.0,35.4,1,5.331325301204819
8268,other,1230.0,2.0,58.0,2,4.715447154471545
8269,hegde nagar,1340.0,2.0,72.0,2,5.373134328358209
8270,attibele,1175.0,2.0,29.38,2,2.500425531914894
8271,other,3569.0,4.0,600.0,4,16.811431773606053
8272,sarjapur,1240.0,2.0,43.1,2,3.475806451612903
8273,other,1276.0,2.0,150.0,3,11.755485893416928
8274,electronic city,1470.0,2.0,44.1,3,3.0
8275,kanakpura road,525.0,2.0,29.25,1,5.571428571428571
8276,7th phase jp nagar,1680.0,3.0,117.0,3,6.964285714285714
8277,other,1000.0,2.0,35.0,2,3.5
8278,gunjur,1071.0,2.0,51.0,2,4.761904761904762
8279,other,1512.0,3.0,80.0,3,5.291005291005291
8280,frazer town,3435.0,2.0,341.0,4,9.927219796215429
8281,other,3144.0,3.0,455.0,3,14.47201017811705
8282,other,1190.0,2.0,60.0,2,5.042016806722689
8283,other,1550.0,2.0,80.0,3,5.161290322580645
8284,kanakpura road,1283.0,2.0,63.22,2,4.927513639906469
8285,other,1325.0,2.0,73.0,2,5.509433962264151
8286,whitefield,1105.0,2.0,35.36,2,3.2
8287,other,1600.0,3.0,74.5,3,4.65625
8288,other,400.0,2.0,35.0,4,8.75
8289,kanakpura road,800.0,2.0,41.145,2,5.143125
8290,hennur,1100.0,2.0,44.55,2,4.05
8291,talaghattapura,2099.0,3.0,147.0,3,7.003334921391138
8292,yelachenahalli,1365.0,2.0,72.0,3,5.274725274725275
8293,hebbal kempapura,1485.0,3.0,132.0,2,8.88888888888889
8294,hosur road,1250.0,2.0,55.0,2,4.4
8295,chikkalasandra,1290.0,2.0,56.12,3,4.350387596899225
8296,bellandur,1170.0,2.0,46.79,2,3.999145299145299
8297,kanakpura road,1328.0,2.0,91.06,2,6.856927710843373
8298,hennur road,1232.0,2.0,87.0,2,7.061688311688312
8299,1st phase jp nagar,1180.0,2.0,88.5,2,7.5
8300,electronic city,1350.0,3.0,66.0,3,4.888888888888889
8301,other,3602.0,4.0,280.0,4,7.773459189339256
8302,other,2400.0,4.0,145.0,4,6.041666666666667
8303,electronic city phase ii,1020.0,2.0,32.0,2,3.1372549019607843
8304,begur road,1410.0,2.0,49.34,3,3.499290780141844
8305,other,2159.0,3.0,120.0,3,5.5581287633163505
8306,anekal,1453.0,2.0,16.5,2,1.1355815554026152
8307,tc palaya,1200.0,2.0,66.0,3,5.5
8308,hennur,1255.0,2.0,57.5,2,4.581673306772909
8309,whitefield,1074.0,2.0,42.79,2,3.984171322160149
8310,other,1200.0,3.0,72.0,3,6.0
8311,sarjapur,1170.0,2.0,35.41,3,3.026495726495726
8312,tumkur road,728.5,1.0,31.315,1,4.298558682223748
8313,bommanahalli,1660.0,2.0,100.0,3,6.024096385542169
8314,other,900.0,6.0,95.0,5,10.555555555555555
8315,other,1850.0,3.0,175.0,6,9.45945945945946
8316,other,510.0,1.0,34.0,1,6.666666666666667
8317,mahadevpura,1601.0,3.0,95.0,3,5.933791380387258
8318,begur road,952.0,2.0,42.0,2,4.411764705882353
8319,other,1166.0,2.0,65.0,2,5.574614065180103
8320,other,2700.0,2.0,260.0,3,9.62962962962963
8321,electronic city phase ii,1900.0,3.0,97.0,4,5.105263157894737
8322,other,1350.0,2.0,175.0,3,12.962962962962964
8323,haralur road,1520.0,2.0,96.0,3,6.315789473684211
8324,other,2100.0,6.0,100.0,4,4.761904761904762
8325,other,1175.0,2.0,50.0,2,4.25531914893617
8326,other,1432.0,2.0,68.0,2,4.748603351955308
8327,bommasandra industrial area,1005.0,2.0,39.77,2,3.957213930348259
8328,other,1309.0,2.0,80.0,2,6.111535523300229
8329,other,2251.0,4.0,370.0,3,16.437139049311416
8330,7th phase jp nagar,1050.0,2.0,77.0,2,7.333333333333333
8331,kanakpura road,1100.0,3.0,53.0,3,4.818181818181818
8332,sanjay nagar,2400.0,3.0,310.0,3,12.916666666666666
8333,begur road,1565.0,2.0,56.34,3,3.6
8334,other,940.0,2.0,56.0,2,5.957446808510638
8335,other,1015.0,2.0,40.1,2,3.9507389162561575
8336,btm 2nd stage,2400.0,2.0,360.0,3,15.0
8337,electronic city,1652.0,3.0,110.0,3,6.658595641646489
8338,whitefield,1100.0,2.0,52.0,2,4.7272727272727275
8339,other,2340.0,4.0,145.0,4,6.196581196581197
8340,koramangala,1084.0,2.0,179.0,2,16.512915129151292
8341,other,1200.0,1.0,81.0,2,6.75
8342,other,1400.0,3.0,69.0,3,4.928571428571429
8343,hbr layout,2400.0,5.0,320.0,4,13.333333333333334
8344,electronic city phase ii,1020.0,2.0,27.43,2,2.68921568627451
8345,whitefield,1267.0,2.0,90.33,2,7.129439621152328
8346,bhoganhalli,2439.0,4.0,185.0,4,7.585075850758508
8347,other,1645.0,3.0,95.0,3,5.775075987841945
8348,sahakara nagar,1100.0,2.0,75.0,3,6.818181818181818
8349,electronic city,1320.0,2.0,38.12,3,2.8878787878787877
8350,ananth nagar,1000.0,2.0,29.7,2,2.97
8351,whitefield,5000.0,5.0,550.0,4,11.0
8352,kr puram,2500.0,6.0,58.0,6,2.32
8353,kengeri satellite town,2480.0,2.0,160.0,2,6.451612903225806
8354,other,1086.0,2.0,44.5,2,4.097605893186004
8355,kengeri,416.0,1.0,18.0,1,4.326923076923077
8356,hennur road,1066.0,2.0,52.23,2,4.899624765478424
8357,other,1730.0,3.0,93.0,3,5.375722543352601
8358,balagere,1205.0,2.0,63.86,2,5.299585062240664
8359,marathahalli,2500.0,5.0,175.0,4,7.0
8360,subramanyapura,960.0,2.0,55.0,2,5.729166666666667
8361,haralur road,1510.0,3.0,83.05,3,5.5
8362,other,1600.0,4.0,90.0,4,5.625
8363,old madras road,2300.0,3.0,142.0,3,6.173913043478261
8364,other,1000.0,2.0,63.0,2,6.3
8365,poorna pragna layout,1160.0,2.0,46.39,2,3.9991379310344826
8366,hormavu,1553.0,2.0,58.23,3,3.7495170637475854
8367,frazer town,3436.0,5.0,345.0,4,10.040745052386496
8368,seegehalli,1134.0,2.0,45.0,2,3.9682539682539684
8369,other,600.0,4.0,80.0,4,13.333333333333334
8370,horamavu agara,2400.0,3.0,80.0,5,3.3333333333333335
8371,whitefield,2400.0,4.0,143.0,4,5.958333333333333
8372,other,1350.0,2.0,65.0,2,4.814814814814815
8373,sarjapur,1032.0,2.0,42.0,2,4.069767441860465
8374,other,1998.0,3.0,117.0,3,5.8558558558558556
8375,other,1225.0,2.0,48.0,2,3.9183673469387754
8376,sarjapur road,1262.0,2.0,67.0,2,5.309033280507132
8377,other,1842.0,3.0,115.0,3,6.243213897937025
8378,other,1300.0,2.0,60.0,2,4.615384615384615
8379,kothannur,1070.0,2.0,38.6,2,3.607476635514019
8380,other,950.0,2.0,33.0,2,3.473684210526316
8381,balagere,1012.0,2.0,53.58,2,5.294466403162056
8382,tc palaya,1000.0,2.0,70.0,2,7.0
8383,kadugodi,1394.0,2.0,56.0,2,4.017216642754663
8384,amruthahalli,1450.0,2.0,85.0,3,5.862068965517241
8385,other,527.0,1.0,35.0,1,6.641366223908919
8386,sarjapur road,1693.0,3.0,125.0,3,7.383343177790904
8387,thigalarapalya,3122.0,6.0,235.0,4,7.527226137091608
8388,horamavu agara,1000.0,2.0,46.0,2,4.6
8389,kogilu,952.0,2.0,49.0,2,5.147058823529412
8390,malleshwaram,2050.0,4.0,270.0,3,13.170731707317072
8391,kengeri,1200.0,1.0,14.0,1,1.1666666666666667
8392,mysore road,1410.0,2.0,64.0,3,4.539007092198582
8393,hebbal kempapura,1400.0,2.0,108.0,2,7.714285714285714
8394,other,3056.0,5.0,100.0,4,3.2722513089005236
8395,sarjapur road,1826.0,3.0,125.0,3,6.8455640744797375
8396,hosur road,1689.0,3.0,103.0,3,6.098283007696862
8397,bisuvanahalli,1075.0,2.0,31.0,3,2.883720930232558
8399,hennur,960.0,2.0,48.0,2,5.0
8400,channasandra,808.0,2.0,40.0,2,4.9504950495049505
8401,kodichikkanahalli,907.0,2.0,38.5,2,4.244762954796031
8402,uttarahalli,1300.0,2.0,55.0,2,4.230769230769231
8403,other,1804.0,3.0,150.0,3,8.314855875831485
8404,other,1350.0,3.0,81.0,3,6.0
8405,whitefield,1836.0,3.0,125.0,3,6.808278867102397
8406,other,826.0,2.0,36.0,2,4.358353510895884
8407,hormavu,1200.0,2.0,68.0,2,5.666666666666667
8408,other,3000.0,3.0,300.0,4,10.0
8409,indira nagar,2400.0,4.0,405.0,4,16.875
8410,6th phase jp nagar,1460.0,2.0,80.0,2,5.47945205479452
8411,hoskote,1200.0,4.0,140.0,4,11.666666666666666
8412,btm 2nd stage,965.0,2.0,56.0,2,5.803108808290156
8413,kothannur,2000.0,4.0,95.0,4,4.75
8414,bhoganhalli,1395.0,2.0,70.0,3,5.017921146953405
8415,sarjapur road,1660.0,3.0,116.0,3,6.9879518072289155
8416,other,935.0,2.0,35.0,2,3.7433155080213902
8417,other,1180.0,2.0,39.0,2,3.305084745762712
8418,electronic city,1090.0,2.0,31.48,2,2.8880733944954127
8419,kanakpura road,1204.0,2.0,82.0,2,6.810631229235881
8420,thigalarapalya,2072.0,4.0,153.0,3,7.384169884169884
8421,haralur road,1056.0,2.0,65.0,2,6.15530303030303
8422,hebbal,985.0,2.0,62.0,2,6.2944162436548226
8423,other,1315.0,2.0,49.0,3,3.726235741444867
8424,kr puram,734.0,2.0,22.0,2,2.997275204359673
8425,other,2900.0,4.0,200.0,4,6.896551724137931
8426,yelahanka,2317.0,4.0,140.0,3,6.042296072507553
8427,singasandra,600.0,1.0,45.0,1,7.5
8428,other,2200.0,3.0,115.0,4,5.2272727272727275
8429,attibele,656.0,2.0,25.0,2,3.8109756097560976
8430,attibele,400.0,1.0,11.5,1,2.875
8431,yeshwanthpur,666.0,1.0,36.8,1,5.5255255255255245
8432,other,3293.0,5.0,425.0,4,12.90616459155785
8433,7th phase jp nagar,1174.0,2.0,47.0,2,4.003407155025553
8434,budigere,1153.0,2.0,56.7,2,4.917606244579358
8435,jalahalli,1000.0,4.0,90.0,4,9.0
8436,other,2400.0,5.0,85.0,5,3.5416666666666665
8437,marathahalli,957.0,2.0,47.0,2,4.911180773249739
8438,banashankari stage iii,910.0,2.0,160.0,2,17.582417582417584
8439,sarjapur road,1060.0,2.0,50.0,2,4.716981132075472
8440,banashankari,1000.0,2.0,50.0,2,5.0
8441,kanakpura road,1843.0,3.0,88.0,3,4.774823657080846
8442,kanakpura road,1150.0,2.0,40.25,3,3.5
8443,chandapura,1230.0,2.0,31.37,3,2.5504065040650405
8444,other,3197.0,5.0,335.0,4,10.478573662808884
8445,kanakpura road,1703.0,3.0,130.0,3,7.633587786259542
8446,kaval byrasandra,1125.0,2.0,41.5,2,3.688888888888889
8447,battarahalli,1516.0,3.0,65.0,3,4.287598944591029
8448,brookefield,1130.0,2.0,56.0,2,4.95575221238938
8449,iblur village,3596.0,5.0,279.0,4,7.758620689655173
8450,hosa road,1512.0,3.0,103.0,3,6.8121693121693125
8451,thanisandra,1491.0,3.0,88.0,3,5.902079141515761
8452,other,1250.0,2.0,95.0,2,7.6
8453,banashankari,1650.0,3.0,90.75,3,5.5
8454,raja rajeshwari nagar,1140.0,2.0,48.7,2,4.271929824561403
8455,other,1200.0,4.0,110.0,4,9.166666666666666
8456,thanisandra,1881.0,3.0,95.0,3,5.05050505050505
8457,kanakpura road,1100.0,3.0,56.57,3,5.142727272727273
8458,iblur village,2666.0,4.0,200.0,3,7.501875468867217
8459,other,1500.0,2.0,50.0,2,3.3333333333333335
8460,other,1217.0,2.0,164.0,2,13.475760065735415
8461,whitefield,1197.0,2.0,50.0,2,4.177109440267335
8462,other,2400.0,4.0,170.0,6,7.083333333333333
8463,other,1345.0,3.0,60.0,3,4.4609665427509295
8464,kr puram,1200.0,4.0,100.0,4,8.333333333333334
8465,bannerghatta road,3230.0,5.0,165.0,4,5.108359133126935
8466,other,1260.0,2.0,95.0,3,7.5396825396825395
8467,sarjapur road,2750.0,5.0,240.0,4,8.727272727272727
8468,9th phase jp nagar,1200.0,2.0,80.0,2,6.666666666666667
8469,other,1650.0,3.0,52.0,3,3.1515151515151514
8470,other,600.0,1.0,45.0,1,7.5
8471,uttarahalli,1025.0,2.0,35.88,2,3.5004878048780492
8472,sarjapur,2302.5,2.0,80.59,4,3.5001085776330076
8473,hennur road,973.0,2.0,56.0,2,5.755395683453237
8474,other,4110.0,4.0,590.0,4,14.355231143552311
8475,rajaji nagar,2533.0,3.0,425.0,3,16.778523489932887
8476,balagere,1007.0,2.0,75.0,2,7.447864945382324
8477,hosa road,800.0,1.0,39.99,1,4.99875
8478,sarjapur road,1830.0,3.0,119.0,3,6.502732240437158
8479,other,1077.0,2.0,50.0,2,4.642525533890437
8480,other,672.0,1.0,27.0,1,4.017857142857143
8481,other,1280.0,3.0,87.0,3,6.796875
8482,electronics city phase 1,865.0,2.0,40.0,2,4.624277456647399
8483,kalena agrahara,1000.0,2.0,33.0,2,3.3
8484,cv raman nagar,1285.0,2.0,65.0,2,5.058365758754864
8485,thanisandra,662.0,1.0,29.0,1,4.380664652567976
8486,whitefield,2297.0,5.0,269.0,5,11.710927296473661
8487,other,3750.0,6.0,295.0,5,7.866666666666666
8488,other,1850.0,3.0,95.0,3,5.135135135135135
8489,harlur,1754.0,3.0,132.0,3,7.525655644241733
8490,other,1200.0,4.0,150.0,5,12.5
8491,1st phase jp nagar,2200.0,7.0,350.0,5,15.909090909090908
8492,other,1567.0,3.0,100.0,3,6.381620931716656
8493,hoskote,1695.0,3.0,50.0,3,2.949852507374631
8494,other,360.0,2.0,40.0,2,11.11111111111111
8495,bellandur,1150.0,2.0,69.44,2,6.038260869565217
8496,akshaya nagar,1690.0,3.0,85.0,3,5.029585798816568
8497,other,2350.0,3.0,210.0,3,8.936170212765957
8498,other,1057.0,2.0,65.0,2,6.149479659413434
8499,hebbal,1320.0,2.0,91.0,2,6.893939393939394
8500,bhoganhalli,2119.0,4.0,111.0,4,5.238319962246343
8501,other,1125.0,2.0,48.0,2,4.266666666666667
8502,kanakpura road,2254.0,3.0,170.0,3,7.542147293700089
8503,balagere,645.0,1.0,34.18,1,5.299224806201551
8504,rachenahalli,1050.0,2.0,52.08,2,4.96
8505,panathur,1040.0,2.0,41.6,2,4.0
8506,sarjapur road,1700.0,3.0,194.0,3,11.411764705882353
8507,other,1760.0,3.0,115.0,3,6.534090909090909
8508,bellandur,1138.0,3.0,128.0,3,11.24780316344464
8509,sarjapur road,984.0,2.0,45.91,2,4.665650406504065
8510,raja rajeshwari nagar,1140.0,2.0,38.65,2,3.3903508771929824
8511,whitefield,3596.0,3.0,200.0,3,5.561735261401557
8512,other,1365.0,3.0,54.0,3,3.956043956043956
8513,other,560.0,1.0,19.0,1,3.392857142857143
8514,vittasandra,1404.0,2.0,75.0,2,5.3418803418803416
8515,bellandur,1540.0,4.0,45.0,4,2.9220779220779223
8516,electronic city,1050.0,2.0,39.0,3,3.7142857142857144
8517,other,360.0,4.0,37.0,4,10.277777777777779
8518,rachenahalli,1550.0,3.0,72.5,3,4.67741935483871
8519,yelahanka,1653.0,3.0,93.0,3,5.626134301270417
8520,other,1194.0,2.0,47.0,2,3.936348408710218
8521,other,1471.0,2.0,75.0,3,5.098572399728076
8522,kanakpura road,700.0,2.0,35.0,2,5.0
8523,kudlu gate,812.0,2.0,38.25,2,4.710591133004926
8524,8th phase jp nagar,1504.0,2.0,83.0,3,5.5186170212765955
8525,mahadevpura,1450.0,3.0,75.0,3,5.172413793103448
8526,other,957.0,2.0,54.5,2,5.694879832810868
8527,attibele,460.0,1.0,13.0,1,2.8260869565217392
8528,other,900.0,2.0,128.0,2,14.222222222222221
8529,7th phase jp nagar,1050.0,2.0,75.0,2,7.142857142857143
8530,budigere,1820.0,3.0,85.0,3,4.670329670329671
8531,other,1033.0,2.0,32.0,2,3.0977734753146176
8532,kumaraswami layout,800.0,1.0,90.0,2,11.25
8533,other,520.0,2.0,29.0,1,5.576923076923077
8534,other,1165.0,2.0,88.5,2,7.5965665236051505
8535,gottigere,1280.0,2.0,61.0,2,4.765625
8536,other,1950.0,3.0,230.0,3,11.794871794871796
8537,other,600.0,1.0,58.0,1,9.666666666666666
8538,kanakpura road,1550.0,3.0,65.1,3,4.199999999999999
8539,other,1392.0,2.0,130.0,2,9.339080459770114
8540,jigani,1221.0,3.0,75.0,3,6.142506142506143
8541,other,1000.0,1.0,19.0,1,1.9
8542,other,1300.0,2.0,60.0,2,4.615384615384615
8543,hoskote,1065.0,2.0,31.5,2,2.9577464788732395
8544,yelahanka new town,1209.0,2.0,65.0,3,5.376344086021505
8545,other,375.0,1.0,40.0,1,10.666666666666666
8546,other,7800.0,3.0,2000.0,3,25.641025641025642
8547,sarjapur road,1929.0,4.0,101.0,3,5.235873509590461
8548,hennur road,1255.0,2.0,84.0,2,6.693227091633466
8549,jalahalli,1035.0,2.0,31.05,2,3.0
8550,other,1200.0,5.0,270.0,4,22.5
8551,banashankari,1650.0,3.0,101.0,3,6.121212121212121
8552,whitefield,1275.0,2.0,65.0,3,5.098039215686274
8553,electronic city,1128.0,2.0,65.58,2,5.8138297872340425
8554,raja rajeshwari nagar,1140.0,2.0,38.55,2,3.381578947368421
8555,other,1200.0,4.0,200.0,4,16.666666666666668
8556,thanisandra,1183.0,2.0,58.56,2,4.950126796280642
8557,whitefield,1155.0,2.0,39.0,2,3.3766233766233764
8558,kengeri,1245.0,2.0,43.57,3,3.4995983935742974
8559,akshaya nagar,1000.0,2.0,38.0,2,3.8
8560,7th phase jp nagar,1040.0,2.0,75.0,2,7.211538461538462
8561,ardendale,2062.0,3.0,140.0,4,6.789524733268671
8562,other,1477.0,2.0,75.0,3,5.077860528097495
8563,other,1050.0,3.0,85.0,4,8.095238095238095
8564,sarjapur road,1525.0,2.0,65.0,3,4.262295081967213
8565,other,2000.0,2.0,120.0,2,6.0
8566,other,1220.0,2.0,65.0,2,5.327868852459017
8567,hebbal,2388.0,3.0,195.0,3,8.165829145728644
8568,electronic city,1355.0,2.0,97.6,2,7.202952029520295
8569,whitefield,1141.0,2.0,62.0,2,5.433829973707274
8570,vijayanagar,1046.0,2.0,49.06,2,4.690248565965583
8571,bannerghatta road,630.0,1.0,35.0,1,5.555555555555555
8572,other,1247.0,2.0,62.35,2,5.0
8573,marathahalli,3855.0,4.0,220.0,4,5.706874189364462
8574,other,850.0,2.0,32.5,2,3.823529411764706
8575,kr puram,1120.0,2.0,36.0,2,3.2142857142857144
8577,jakkur,1798.0,3.0,110.0,3,6.117908787541713
8578,bisuvanahalli,1180.0,2.0,45.0,3,3.8135593220338984
8579,other,1000.0,2.0,34.0,2,3.4
8580,whitefield,1216.0,2.0,82.0,2,6.743421052631579
8581,margondanahalli,900.0,2.0,65.0,2,7.222222222222222
8582,tc palaya,1100.0,2.0,65.0,2,5.909090909090909
8583,other,1842.0,3.0,115.0,3,6.243213897937025
8584,bisuvanahalli,1075.0,2.0,43.0,3,4.0
8585,whitefield,1495.0,3.0,88.0,2,5.88628762541806
8586,kanakpura road,1700.0,3.0,120.0,3,7.0588235294117645
8587,whitefield,1564.0,3.0,103.0,3,6.585677749360614
8588,other,1256.0,2.0,65.0,2,5.17515923566879
8589,kundalahalli,1047.0,2.0,89.0,2,8.500477554918815
8590,bhoganhalli,1458.0,3.0,78.45,3,5.3806584362139915
8591,hoodi,1063.0,2.0,61.17,2,5.754468485418626
8592,other,7400.0,5.0,1850.0,4,25.0
8593,other,1150.0,2.0,52.5,2,4.565217391304348
8594,chandapura,450.0,1.0,9.0,1,2.0
8595,ramamurthy nagar,1360.0,2.0,45.0,2,3.3088235294117645
8596,marathahalli,1605.0,3.0,76.0,3,4.735202492211838
8597,nagarbhavi,1200.0,4.0,205.0,3,17.083333333333332
8598,haralur road,1810.0,3.0,100.0,3,5.524861878453039
8599,other,1250.0,2.0,48.5,2,3.88
8600,poorna pragna layout,1475.0,2.0,58.99,3,3.999322033898305
8601,r.t. nagar,1100.0,3.0,125.0,2,11.363636363636363
8602,other,850.0,2.0,25.4,2,2.988235294117647
8603,electronic city phase ii,1025.0,2.0,26.65,2,2.6
8604,uttarahalli,980.0,2.0,45.0,2,4.591836734693878
8605,other,1428.0,2.0,70.0,3,4.901960784313726
8606,other,1130.0,2.0,74.0,2,6.548672566371682
8607,kanakpura road,1592.0,3.0,125.0,3,7.851758793969849
8608,jp nagar,2050.0,3.0,82.0,3,4.0
8609,other,1407.0,2.0,83.87,2,5.96090973702914
8610,other,4170.0,3.0,800.0,3,19.18465227817746
8611,whitefield,1585.0,3.0,84.0,3,5.299684542586751
8612,jakkur,1785.0,3.0,130.0,3,7.282913165266106
8613,other,900.0,2.0,45.0,2,5.0
8614,other,1350.0,4.0,160.0,4,11.851851851851851
8615,kanakpura road,1843.0,3.0,96.2,3,5.219750406945198
8616,other,2375.0,3.0,260.0,4,10.947368421052632
8617,other,1200.0,2.0,67.0,2,5.583333333333333
8618,akshaya nagar,1113.0,2.0,52.0,2,4.672057502246181
8619,uttarahalli,1125.0,2.0,47.0,2,4.177777777777778
8620,whitefield,1200.0,3.0,56.0,3,4.666666666666667
8621,anekal,1150.0,3.0,45.0,3,3.9130434782608696
8622,yeshwanthpur,770.0,1.0,70.0,2,9.090909090909092
8623,kodichikkanahalli,1181.0,2.0,57.0,2,4.8264182895850976
8624,kanakpura road,1550.0,3.0,64.7,3,4.174193548387096
8625,1st phase jp nagar,1200.0,2.0,86.0,2,7.166666666666667
8626,raja rajeshwari nagar,1295.0,2.0,55.47,2,4.283397683397683
8627,other,480.0,3.0,65.0,3,13.541666666666666
8628,lingadheeranahalli,1506.0,3.0,95.0,3,6.308100929614874
8629,other,1872.0,3.0,152.0,3,8.11965811965812
